1,লিস্ট ফাকা জলদি আড দেন মামা ,
2, ভালবাসার গল্প পড়তে এই পেইজে লাইক দেন বন্ধুত্ব ,
3, আমার অভিনিত অভিনয়ে সুযোগ চাই ,
4, না বলা ভালোবাসা কিন্তু খুবই ভাল পোলা ,
5,আবারও লেট হয়ছে মিনিট সেকেন্ড ,
6, জগন্নাথের শিক্ষার্থীরা এটা মেনে নিবে না। এটা আমাদের খেলার মাঠ এর জন্যে অন্য কিছু ভাবা উচিৎ ,
7, কথা টা ঠিক মনে হয় ,
8, মাননীয় মহাপরিদর্শক পুলিশ আমাদেরকে ট্রাফিক পুলিশের তৈরী রাস্তার জ্যাম থেকে বাচান। এরা যদি জন থাকে রাস্তায় জন ব্যস্ত থাকেগাড়ি থামায়ে চাঁদা আদায়ে গাড়ীর কাগজ চেক শেষ হয় না জন যে কোন দিকে এক হাত তুলে দাড়ায়ে থাকে পাথরের মত। রাস্তার টহল পুলিশের কাজ এলাকা পাহারা দেওয়া তারাও গাড়ি দাড় করায়ে রাস্তায় জ্যাম লাগায়ে কাগজ চেক করে। এস আই এ এস আইরা থানা থেকে হুন্ডা দিয়ে এস ফুটপাতের হকারদের কাছ থেকে চাঁদা তুলে। বিনা কারনে আনসার গুলি রিক্সার গদি উল্টায়ে গরীব রিক্সাওয়ালা দের কাছ থেকে টাকা করে ,
9, প্রাণ খুলে হাঁসতে চাইলে ঘুরে আসুন আমাদের উস্তাদ জ্বি পেজ থেকে। চরম ফানি পেজ কিন্তু ,
10,ইচ্ছা করে দেরি করিনি কমেন্ট লোড টাইম সেকেন্ড মাত্র বাহ বাহ ,
11, চুপ থাকার কোন সিস্টেম নাই যদি প্রান খুলে হাসতে চান তাহলে লাইক দেন আমাদের ,
12, আচ্ছা কেউ কি বলতে পারবেন শৃংখলা ভঙ্গ এবং অসদাচরনের দায়ে সবচেয়ে বেশিবার নিষিদ্ধ এবং জরিমানা প্রাপ্ত বাংলাদেশি ক্রিকেটারটির নাম কি? ,
13, ঋদ্ধির এক ম্যাচ বিশ্রামে আট বছর পর শিঁকে ছিঁড়ল পার্থিবের ,
14,কমেন্ট লোড টাইম ইজ সেকেন্ড মাত্র বাহ বাহ ,
15, কখনো কোনো মিথ্যাবাদীর সাথে তর্কে জড়াতে নেই তাহলে তুমি কোনোদিনও তার সাথে জিততে পারবে না কারন সে তোমাকে তার মিথ্যাকে বিশ্বাস করতে বাধ্য করবে। ,
16, বন্ধু তোমার প্রতিটি পোষ্ট প্রতিটি স্টাটাস আমার কাছে খুবেই ভালো লাগে যেদিন থেকে তোমার আমার বন্ধুত্ব শুরু সেদিন থেকে আমার কাঁদে একটা দায়িত্ব আসে তোমার প্রফাইলে খেয়াল রাখা শত ব্যাস্ততার মাঝেও তোমাকে আমার ফলো করতে হয় তাই লাইক কমেন্ড দুটোই করে থাকি তোমাকেও যে আমার পোষ্টে লাইক কমেন্ড করতে হবে এমন কথা বলছি না কারোন আমি কোন অপদার্থর সথে বন্ধুত্ব করিনি আমার প্রতিটি বন্ধুই আমার চেয়ে বিবেক বান আবার নতুন পোষ্ট করো দেখা হবে ,
17, হেনরিক ইবসিনের কথাটা বেশি ভাল লেগেছে । ,
18,আবারও লেট হয়ছে সেকেন্ড মাত্র বাহ বাহ ,
19, ঘন্টা একটিভ। সবচেয়ে জনপ্রিয় অস্থির একটা ফানি পেজ। একবার ঘুরে আসুন ভাল লাগলে লাইক দেন ,
20, ভাই সাংবাদিক পুলিশ যখন খারাপ কিছু করে তখন পুলিশ শাব্দ টা আগে লেখেন কিন্ত এখন এত বড় একটা ভাল কাজ করল কে গ্রেফতার করল সেটা উল্লেখ করলেন না শিরোনামে কি উল্লেখ করা উচিত ছিল না ??????? ,
21, আমার মতে এই তিন জনকে জেলে রেখে বোজানো হক পাখিরা কত কষ্টে ছিল। ,
22, পাখিগুলো ছেড়ে দিন । সৃষ্টিকর্তা ওদের বন্দী থাকার জন্য সৃষ্টি করেননি । ,
23, এই শালাগুলোকে কাঁচা কঞ্চি দিয়ে পিটানো দরকার তাহলে এরা ঠিক হবে। ,
24, এদেকে পাখির মত খাচাই বুনদি করে রাখা হক ,
25, আমার টা আছে তো পুলিশে নিয়ে যাবে কি ,
26, কিছু কিছু পাক প্রেমি কথিত বাংলাদেশীআদতে বিহারী জামাতি জঙ্গি এ ঘৃণ্য হত্যাচেষ্টাকে সমর্থন করছে। পাকি আব্বার যা করে তার সবকটা এদের চোখে মহান। ,
27, পাকিদের দেশে কাপড়ের দাম অনেক বেশী নাকি? ,
28, হ্যাঁ তাই ছোটভাইকে হত্যা করা উচিত সবদিক থেকে বঞ্চিত এবং বৈষম্য করা উচিত নিঃস্ব করা উচিত বেইজ্জত করা উচিত। ,
29,বিশ্বের ব্যর্থ রাষ্ট্রের তালিকাটা একবার দেখে নিবেন। ব্যর্থ মানে কি বোঝেন??? ,
30,পাকিস্তানের পাশে আপনি অবশ্যই থাকবেন। পিতার দেশের পাশে অবশ্যই থাকা উচিত। তবে বাংলাদেশে থাকা একদমই উচিত নয়। আপনার মতো লোক বাংলাদেশের ক্যান্সার। আমার প্রিয় মাতৃভূমিকে খোড়া অন্ধ ও ব্যর্থ হিসেবে দেখতে চাই না। স্কুলে হাসপাতালে মসজিদে বাড়িতে রাস্তাঘাটে বোমাহামলায় মারা যাবার শঙ্কা নিয়ে আধামৃত থাকতে চাই না ,
31, সালে যুদ্ধের সময় পাকিস্তানের রুপি করে মাসি ভাতা খেয়ে আরামে আয়শে টি মাস পাকিস্তানের হেফাজতে ছিলো তারা কি ভাবে দেশে থাকবে আমরা তো মুক্তিযুদ্ধার সন্তান যুদ্ধো করে দেশ স্বাধীন করে যদি বাংলাদেশে থাকতে না পারি দেশে থাকবে কে শুনি কারা থাকার জন্য যুদ্ধো করেছেন বলুন। ,
32, ফাকিস্তান এসব জায়েজ করে ফেলেছে মঞ্চ অভিনেত্রী বলে কথা কত বড় শরীয়াহ বিরোধী কাজ ,
33,এখন এ দেশীয় কিছু আবাল এইটা আরো জায়েজ করে তোলবে ,
34, এটা কোন দেশ আামার বিশ্বাস হয়না এখানে কোন মানুষ থাকে। মসজিদে গুলিস্কুলে গুলিশপিং কমপ্লেক্স গুলি শিশুদের লক্ষ করে গুলি এখন অভিনেত্রী কে গুলি। আসলে এদের যারা সমর্থন করে তারা পাগল ছাড়া কিছুই নয়। ,
35, এই রকম একটা মাল রেন্ডিয়ায় আছে নাকি রে? পাকিস্তান কে ঘৃনা করলেও তাদের এসব পারমানবিকের কাছে তুরাই তাল হারাবি ,
36, সেই দিনের কবে আসবে ? যেদিন আমরা নিজেদের দেশকে ভালোবাসবো পৃথিবীর নিকৃষ্ট দেশের চামবাজি করতে লজ্জা হয় না তোদের। দালালের দল।। ,
39, কেউ ওরে পানিতে চুবাস না কেরে ,
40, ঐ নিউজ কি এত প্রয়োজনিও? ,
41, পাকিস্তানের মানুষ অশালীন অভিনেত্রী ও মডেল পছন্দ করেনা ,
42, কিন্ত পাকিস্তানে শহরের মেয়েরা যথেষ্ট সন্দেহ আধুনিক। ,
43,আপনি কি এ তে টাকা ইনকাম করতে চান??? তাহলে পডুন ,
44,আপনি ওই টাকা ভাবে খরচ করতে পারবেন ,
45, থেকে টা করুন তার পর আপনাকে করতে হবে এবং নং দিয়ে যদি চায় তাহলে এই টা দিন ,
46,বিশ্ব রেকর্ডের নেশায় মাথায় ফুটবল নিয়ে কিমি ,
47,তারপরও লেইট হয়েছে সেকেন্ড মাত্র বাহ বাহ ,
48, ঈমানদারির পরিচয় পাওয়া যায় পাকিদের মূর্খতাকে সাপোর্ট করলে ,
49, বাধ্য নই তবুও বলছি মেয়ে। ,
50, জঙ্গি রাস্ট্রে তো এসবই হবে। ,
51, পাক খবর বাদ দাও দেশের খবর লেখো ,
52, যেইনা বালের দেশ তার আবার নিউজ ,
53, ঠিক আছে অভিনয়ের নামে দেহ েদখানো।আমাদের বাংলাদেশের মত নামে মুসলমান নয়। ,
54,ফইন্নি এডমিন খোজ নিন ভালো করে তার হাগুর রং কি ,
55, যেই দেশ সেই রকমের কাজ ,
56, সানিলিওন যদি অভিনেত্রী হয় তাহলে ব্যাশা কে? ,
57, কুত্তাস্থান বলে কথা জানোয়ারের দেশ আমার এত ঘৃনা লাগে ক্যারে ? ,
58, পাকিস্তানি রষ্ট্রের জন্য এটা কোনো ব্যাপারই না। ,
59, এটা আর কে করবে একমাত্র তালেবান ছাড়া। ,
60, গোলাম আজমের সন্তানরা এ দেশ তোমাদের না কেনো একথা তোমার মা বলেনি। ,
61, ভাব দেখেতো মনে হয়না মরবে।তাহলে কেমন গুলি করল? ,
62, এখন কি আমরা শোক পালন করব?? ,
63, ভাল হয়েছ এই বেটি মরেনা কে ,
66, এই রকম একটা লাড়কিকা মালকে গুলি করল একটু হাত কাঁপলোনা। ,
68, ইশরে মানবতা কতো নীচে নামলো????? ,
69,মিয়ানমারের ব্যাপারে চুপ কেন ছাগির দল ,
70,কিছু কিচু সানি লিউনরাতো কিছু কমেন্টকারীদের জামাতি বলে কেদে দিচ্ছে।। ,
71, এতে অবাক হবার কিছুইই নেই। মসজিদে যেখানে গুলাগুলি হয়। সেখানে এটা এক সাধারণ ব্যাপার।,
73, ঠিক আছে ফেসবুক লাইভে আইসা মাথা খারাপ করতো যুবকদের ,
76, ফটো ভেরিফিকেশন আইডি ঠিক করা হয়। ,
80, মেয়র সাখাওয়াত। যদি গড ফাদার রা তোর জোড় না করে। ,
81, আল্লাহ যদি রহম করে তাহলে আই ভি মেয়র হবে। ,
86, ওয়ার্ড বয় কেন বাইরের কেউ গিয়ে ইনজেকশন দিয়ে অাসলেও কোন সমস্যা নাই। ,
88, স্বাস্থ্য মন্ত্রী আছেন ইলেকশন করবো কি না ওই চিন্তা নিয়ে হাসপাতাল এর খবর ডাক্তারের খবর রাখার সময় কই? ,
94, ক্লিনিক আর ডাক্তার হল ডিজিটাল কসাই।বিশেষ করে ভোলাতে।হসপিটালে রোগী দেখাতে গেলে বলে ক্লিনিকে আসেন।সেখানে গেলেই ভিজিট । ,
95, বাংলাদেশে কোন ডাক্তার নাই আছে শুধু ওয়াড বয়৷ তাই ওয়াড বয়ের কোন দোষ নাই৷ ওয়াড বয়ের হাতে অনেক শিশু নতুন জীবন পায় ,
97, ক্লিনিকের মালিককে গণদোলাই দেওয়া দরকার ,
98, দেশে আইনের শাসন না থাকায় এ অবস্থা ,
99, যে দেশে ওয়ার্ড বয় অপারেশন করে যেইখানে একটা ইনজেকশনে কি আসে যায়। ,
100, সে ওয়ার্ড বয় ছিল না। জেনারেটর অপারেটর। ,
102, আজে বাজে হাসপাতালে কত জীবন যায় কে খোজ রাখে ,
103, আসলে তাদের কারনে অনেক রুগী মারা যায় যা সাধারন মানুষ বুঝতে পারে না। ,
105, প্রতিদিনের আবহাওয়া ও বিজ্ঞানের জানা অজানা তথ্যের সন্ধান পেতে লাইক দাও প্রযুক্তির জয় প্রযুক্তির জয় প্রযুক্তির জয় প্রযুক্তির জয় ,
107, সাওতালের নিউজ শেষ করেন এবার রিহিজ্ঞাদের নিয়ে লিখেন।। ,
108, তাইলে যাদের কারনে মানুষ অন্ধ পঙ্গু হইসে তাদের বিচার কই??? ,
109, সাঁওতাল ভায়েরা তোমাদের মনের জোর আছে কিন্তু তোমাদের পাশে নাই তোমাদের ভগবান৷ ,
110, রবার্তো কার্লোসরে মনে করিয়ে দিলো এই মালোশিয়ান ফায়াজ ,
111, আমার তো মনে হলো জয়স্টিক দিয়ে গোলটা করলো। সত্যিই অসাধারন গোল। ,
112, মামলা যতদিন থাকবে এরশাদকে ততদিন নাকে লাগাম দিয়ে ঘোরানো যাবে মামলা শেষ হলে ও পল্টি খাবে তাই । ,
113, ইলেকশন আসলে এনা ইহা নাডাচাডা হয় এখন কেন? ,
114, যার সব ভালো তার শেষ ভাল যেমন চাচা ,
